Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,LCA_TaxId
"820|AF013606.1 Bacteroides uniformis RecA (recA) gene",246,0,388,73.45,73.71,99.65,135.66,2.29,245.53,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,820
817|Y18979.1 Bacteroides fragilis insertion sequence IS1187,247738,0,1181,92.89,93.14,99.73,107.36,857.85,247736.57,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,817
"77133|AJ315483.1 Uncultured bacterium 16S rRNA gene",2546,0,1429,43.74,43.74,100.0,228.64,8.87,2544.27,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|AY850417.1 Uncultured bacterium clone Adhufec19ml 16S ribosomal RNA gene",3316,0,1239,46.17,46.49,99.31,215.1,11.17,3314.5,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"483216|AB196155.1 Bacteroides eggerthii leuB gene for beta-isopropylmalate dehydrogenase, partial cds",3596,0,825,99.27,100.0,99.27,100.0,22.7,3595.0,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,28111
"33038|AF439554.1 Ruminococcus gnavus strain LEMB53 ruminococcin A precursor (rumA1), ruminococcin A precursor (rumA2), and ruminococcin A precursor (rumA3) genes, complete cds; and ISRgn2 unknown genes",3368,1,3599,69.8,71.05,98.24,140.75,5.44,3363.64,1e-26,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,572511
"77133|AB124794.1 Uncultured bacterium xyn10B gene for 1,4-beta-xylanase, partial cds",136,0,161,91.93,96.27,95.48,103.87,3.27,135.8,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,,2
"77133|AY343234.1 Uncultured bacterium clone REC6M_88 16S ribosomal RNA gene",1516,0,616,73.54,73.7,99.78,135.68,11.36,1515.25,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"821|DQ163906.1 Bacteroides vulgatus small heat shock protein 10 kDa (hsp10) and chaperonin GroEL (hsp60) genes",1722,0,2061,47.89,47.99,99.8,208.39,4.36,1719.5,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,821
77133|AY350328.1 Uncultured bacterium clone 1g LP-RAPD marker,1010,0,535,95.89,100.56,95.35,99.44,9.68,1009.35,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,,2
"823|AY769934.1 Bacteroides distasonis beta-lactamase (cfxA5) gene",4062,0,1100,62.55,62.55,100.0,159.88,14.72,4060.67,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,823
